model,language,framework,repo_url,success,execution_time_seconds,valid_openapi,files_processed,error,expected_paths_count,generated_paths_count,path_match_count,path_recall,path_precision,expected_methods_count,generated_methods_count,method_match_count,method_recall,method_precision
llama3,typescript,Express & Firestore,https://github.com/marcusmonteirodesouza/typescript-firestore-terraform-realworld-backend,False,4.64,False,27,Pipeline completed but swagger.json not found at output/typescript-firestore-terraform-realworld-backend/swagger.json,,,,,,,,,,
llama3,typescript,Express + Knex.js + AWS Lambda,https://github.com/kenyipp/realworld-nodejs-example-app,False,8.84,False,145,Pipeline completed but swagger.json not found at output/realworld-nodejs-example-app/swagger.json,,,,,,,,,,
llama3,typescript,Express + PostgreSQL + Drizzle + Docker,https://github.com/AhmedFawzy31/realworld-express-postgresql-drizzle,False,2.91,False,43,Pipeline completed but swagger.json not found at output/realworld-express-postgresql-drizzle/swagger.json,,,,,,,,,,
llama3,typescript,Neo4j + NestJS,https://github.com/neo4j-examples/nestjs-neo4j-realworld-example,True,143.36,False,31,,12.0,10.0,9.0,0.75,0.9,19.0,15.0,14.0,0.7368,0.9333
llama3,typescript,NestJS + MikroORM,https://github.com/mikro-orm/nestjs-realworld-example-app,True,204.74,False,37,,12.0,14.0,12.0,1.0,0.8571,19.0,20.0,18.0,0.9474,0.9
llama3,typescript,NestJS + TypeORM,https://github.com/lujakob/nestjs-realworld-example-app,True,218.54,False,35,,12.0,14.0,12.0,1.0,0.8571,19.0,20.0,18.0,0.9474,0.9
llama3,typescript,Nitro + Prisma + Zod,https://github.com/realworld-apps/nitro-prisma-zod-realworld-example-app,False,3.96,False,43,Pipeline completed but swagger.json not found at output/nitro-prisma-zod-realworld-example-app/swagger.json,,,,,,,,,,
llama3,Java,Spring Boot + MyBatis,https://github.com/joyheros/realworld,True,168.43,False,83,,12.0,15.0,12.0,1.0,0.8,19.0,21.0,18.0,0.9474,0.8571
llama3,Java,Spring Boot + Spring Data JDBC,https://github.com/alexey-lapin/realworld-backend-spring,False,4.3,False,174,Pipeline completed but swagger.json not found at output/realworld-backend-spring/swagger.json,,,,,,,,,,
llama3,Java,Spring Boot + Spring Data JPA + DDD,https://github.com/borovikovd/realworld-backend-spring-ddd,False,1.43,False,36,Pipeline completed but swagger.json not found at output/realworld-backend-spring-ddd/swagger.json,,,,,,,,,,
