Unnamed: 0,model,language,framework,repo_url,success,execution_time_seconds,valid_openapi,files_processed,error,expected_paths_count,generated_paths_count,path_match_count,path_recall,path_precision,expected_methods_count,generated_methods_count,method_match_count,method_recall,method_precision,date,description
158.0,llama3,C#,ASP.NET Core + Microservices,https://github.com/profjordanov/realworld-microservices,True,146.26,False,73,,12.0,9.0,0.0,0.0,0.0,19.0,13.0,0.0,0.0,0.0,28:14:09,
159.0,llama3,typescript,Express & Firestore,https://github.com/marcusmonteirodesouza/typescript-firestore-terraform-realworld-backend,False,3.66,False,27,Pipeline completed but swagger.json not found at output/typescript-firestore-terraform-realworld-backend/swagger.json,,,,,,,,,,,21:19:15,
160.0,llama3,typescript,Express + Knex.js + AWS Lambda,https://github.com/kenyipp/realworld-nodejs-example-app,False,8.56,False,145,Pipeline completed but swagger.json not found at output/realworld-nodejs-example-app/swagger.json,,,,,,,,,,,21:19:15,
161.0,llama3,typescript,Express + PostgreSQL + Drizzle + Docker,https://github.com/AhmedFawzy31/realworld-express-postgresql-drizzle,False,2.84,False,43,Pipeline completed but swagger.json not found at output/realworld-express-postgresql-drizzle/swagger.json,,,,,,,,,,,21:19:15,
162.0,llama3,typescript,Neo4j + NestJS,https://github.com/neo4j-examples/nestjs-neo4j-realworld-example,True,125.74,False,31,,12.0,9.0,8.0,0.6667,0.8889,19.0,14.0,13.0,0.6842,0.9286,21:19:15,
163.0,llama3,typescript,NestJS + MikroORM,https://github.com/mikro-orm/nestjs-realworld-example-app,True,146.61,False,37,,12.0,14.0,12.0,1.0,0.8571,19.0,20.0,18.0,0.9474,0.9,21:19:15,
164.0,llama3,typescript,NestJS + TypeORM,https://github.com/lujakob/nestjs-realworld-example-app,True,152.77,False,35,,12.0,14.0,12.0,1.0,0.8571,19.0,20.0,18.0,0.9474,0.9,21:19:15,
165.0,llama3,typescript,Nitro + Prisma + Zod,https://github.com/realworld-apps/nitro-prisma-zod-realworld-example-app,False,3.04,False,43,Pipeline completed but swagger.json not found at output/nitro-prisma-zod-realworld-example-app/swagger.json,,,,,,,,,,,21:19:15,
166.0,llama3,Java,Spring Boot + MyBatis,https://github.com/joyheros/realworld,True,146.21,False,83,,12.0,15.0,12.0,1.0,0.8,19.0,21.0,18.0,0.9474,0.8571,21:19:15,
167.0,llama3,Java,Spring Boot + Spring Data JDBC,https://github.com/alexey-lapin/realworld-backend-spring,False,4.21,False,174,Pipeline completed but swagger.json not found at output/realworld-backend-spring/swagger.json,,,,,,,,,,,21:19:15,
168.0,llama3,Java,Spring Boot + Spring Data JPA + DDD,https://github.com/borovikovd/realworld-backend-spring-ddd,False,1.42,False,36,Pipeline completed but swagger.json not found at output/realworld-backend-spring-ddd/swagger.json,,,,,,,,,,,21:19:15,
169.0,llama3,Java,Spring Boot + Spring Data JPA + PostgreSQL,https://github.com/marcusmonteirodesouza/realworld-backend-spring-boot-java-keycloak-postgresql,True,240.63,False,45,,12.0,21.0,11.0,0.9167,0.5238,19.0,31.0,17.0,0.8947,0.5484,21:19:15,
